state,session_year,fy,scheduled_adjourn,actual_adjourn,overrun_days,precision,signed_date,days_late,scheduled_edition,actual_edition,source
Idaho,2015,2016,2015-04-05,2015-04-11,6,approx,2015-04-15,-77,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Idaho,2016,2017,2016-04-05,2016-03-25,-11,approx,2016-03-15,-108,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Idaho,2018,2019,2018-04-05,2018-03-28,-8,approx,2018-03-28,-95,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Idaho,2019,2020,2019-04-05,2019-04-11,6,approx,2019-04-11,-81,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Idaho,2020,2021,2020-03-27,2020-03-20,-7,exact,2020-03-30,-93,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Idaho,2021,2022,2021-04-02,2021-11-17,229,exact,2021-05-12,-50,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Idaho,2022,2023,2022-04-04,2022-03-31,-4,exact,2022-03-31,-92,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Idaho,2023,2024,2023-04-08,2023-04-06,-2,exact,2023-04-06,-86,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Idaho,2024,2025,2024-03-29,2024-04-10,12,exact,2024-04-10,-82,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Idaho,2025,2026,2025-04-26,2025-04-04,-22,exact,2025-04-10,-82,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Idaho,2026,2027,2026-04-10,2026-04-02,-8,exact,2026-04-02,-90,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Illinois,2025,2026,2025-05-31,2025-05-31,0,exact,2025-06-16,-15,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Indiana,2015,2016,2015-04-29,2015-04-29,0,exact,2015-05-07,-55,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Indiana,2017,2018,2017-04-29,2017-04-29,0,exact,2017-04-27,-65,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Indiana,2019,2020,2019-04-29,2019-04-24,-5,exact,2019-04-29,-63,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Indiana,2021,2022,2021-04-29,2021-11-15,200,exact,2021-04-29,-63,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Indiana,2023,2024,2023-02-08,2023-04-28,79,exact,2023-05-05,-57,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Indiana,2025,2026,2025-04-29,2025-04-24,-5,exact,2025-05-06,-56,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Iowa,2015,2016,2015-05-01,2015-06-06,36,exact,2015-07-02,1,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Iowa,2016,2017,2016-04-19,2016-04-29,10,exact,2016-05-27,-35,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Iowa,2017,2018,2017-04-28,2017-04-28,0,exact,2017-05-12,-50,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Iowa,2018,2019,2018-04-18,2018-05-07,19,exact,2018-06-01,-30,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Iowa,2019,2020,2019-05-03,2019-04-27,-6,exact,2019-05-22,-40,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Iowa,2020,2021,2020-04-21,2020-06-14,54,exact,2020-06-30,-1,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Iowa,2021,2022,2021-04-30,2021-05-19,19,exact,2021-06-15,-16,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Iowa,2022,2023,2022-04-21,2022-05-25,34,exact,2022-06-15,-16,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Iowa,2023,2024,2023-05-17,2023-05-04,-13,exact,2023-06-01,-30,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Iowa,2024,2025,2024-04-16,2024-04-20,4,exact,2024-05-09,-53,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Iowa,2025,2026,2025-05-09,2025-05-15,6,exact,2025-05-10,-52,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Iowa,2026,2027,2026-04-21,2026-05-03,12,exact,2026-06-02,-29,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kansas,2015,2016,2015-05-25,2015-06-12,18,approx,2015-06-16,-15,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kansas,2016,2017,2016-05-15,2016-06-01,17,approx,2016-05-18,-44,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kansas,2017,2018,2017-05-15,2017-06-26,42,approx,2017-06-25,-6,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kansas,2018,2019,2018-04-08,2018-05-05,27,exact,2018-05-15,-47,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kansas,2019,2020,2019-05-15,2019-05-29,14,approx,2019-05-20,-42,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kansas,2020,2021,2020-04-03,2020-05-22,49,exact,2020-03-25,-98,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kansas,2021,2022,2021-05-14,2021-05-26,12,exact,2021-04-26,-66,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
